OBJECTID,ZIP_CODE,populationtotals_totpop_cy,Positive,CasesP100000,ZipInt,ActiveCases,ActiveCaseRate,SHAPE_Length,SHAPE_Area
61,78236,11007,3387,31124.7932365374,78236,72,661.643080316118,153755.514876176,377413199.072359
62,78237,36938,6595,17998.4716991431,78237,60,163.746520386442,59384.3754177406,193072477.482847
63,78238,26671,2834,10562.80283265,78238,21,78.2705926202013,87962.3089334905,259649623.508825
64,78239,32687,2778,8621.70634058533,78239,25,77.5891499332733,73137.2095572859,187313089.383522
65,78240,55756,4740,8533.00689481359,78240,41,73.8087094277125,94158.7196749705,313235335.64477
66,78242,31814,4777,14613.9255996084,78242,48,146.842878120411,66703.736104248,217928387.68486
67,78244,33128,3600,10499.3000466636,78244,41,119.575361642557,104375.976145958,201752363.493041
68,78245,87105,10164,11119.8634633058,78245,123,134.567414992779,170739.090307222,928169077.144266
69,78247,50358,4187,8456.87739850535,78247,29,58.5740254494042,113355.103329695,364107299.9887
70,78248,13934,967,6999.1314418066,78248,14,101.331789229878,56401.5243615326,111426275.873544
71,78249,57928,5132,8993.72612246329,78249,49,85.8715081840805,100098.847683483,411237101.435865
72,78250,55375,4841,8868.73683246313,78250,43,78.7762205734176,105914.001990402,270192023.820922
73,78251,59980,5730,9681.67072181671,78251,53,89.551230062179,96161.0113517835,404369272.396172
74,78252,14611,2420,14397.0491998334,78252,20,118.983877684574,184015.849288716,848257818.199944
75,78253,55635,4904,8641.86653038927,78253,46,81.0615539147444,127148.883343987,928942360.932168
76,78254,69088,6279,8693.18417810021,78254,84,116.296778302344,216177.158395271,699440050.315874
77,78255,18495,1174,6357.28596956734,78255,12,64.9807765202794,176014.973285272,453594748.584599
78,78256,12856,1150,8587.21624850657,78256,7,52.2700119474313,80070.23020323,233264887.006653
79,78257,9807,1108,10665.1265761864,78257,16,154.009048031572,216828.016186438,1601867808.53759
80,78258,49810,4089,8284.03565640195,78258,45,91.1669367909238,136378.938897875,471721440.160161
81,78259,28293,2156,7392.92939683846,78259,43,147.447107636389,100643.25734098,484994187.918869
82,78260,36255,2942,7959.95670995671,78260,46,124.458874458874,139814.32126266,671632018.239465
83,78261,23828,2041,8353.45639094667,78261,13,53.2067286047559,160420.33069011,778486059.879329
84,78263,5228,460,8923.37536372454,78263,4,77.5945683802134,232015.748681979,1205200908.08681
85,78264,13113,1549,11836.1733017498,78264,9,68.770535646061,247111.268722492,1949932171.54482
86,78266,1362,77,5539.56834532374,78266,3,215.827338129496,154652.102070213,242381023.798924
